rootRegistry.variableOne,rootRegistry.variableTwo,rootRegistry.variableThree,rootRegistry.variableSix,rootRegistry.registryOne.variableFour,rootRegistry.registryTwo.variableFive,rootRegistry.registryTwo.registryThree.variableSeven
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6476152668760314,0.6205797784843547,42.0,1.0,84.0,0.9264851044320299,619.0
0.9452937540002534,0.4369964531580739,52.0,1.0,18.0,0.7192801895539586,632.0
0.709541507168127,0.004124881063901298,5.0,1.0,69.0,0.669921042278238,263.0
0.5344081855923783,0.12843385097913562,41.0,1.0,76.0,0.3408945352360194,60.0
0.04453347586534051,0.735997572371229,9.0,1.0,74.0,0.050893123157190745,233.0
0.3941968869851573,0.1596999247802584,28.0,1.0,52.0,0.9270032046405979,882.0
0.40838100738928096,0.7761616141653725,56.0,1.0,25.0,0.8566472501077316,397.0
0.47620378661983587,0.5636507076788797,76.0,1.0,83.0,0.95242229358171,50.0
0.7694054751852919,0.6035272217370051,77.0,1.0,42.0,0.6418130054409203,373.0
0.8241482354712327,0.8938000672216408,67.0,0.0,81.0,0.815125039583858,286.0
0.13239545662425856,0.02982715166749772,95.0,1.0,89.0,0.17071005237848125,943.0
0.935290168584046,0.8976363191821313,7.0,1.0,59.0,0.5826719674006903,364.0
0.9359142883358217,0.893679908129698,22.0,0.0,72.0,0.8908822004668868,964.0
0.11795360908782737,0.04512622737393823,23.0,0.0,10.0,0.11258852825668175,935.0
0.37265764773031196,0.026179676292146348,19.0,1.0,70.0,0.18431902455260152,685.0
0.21911131207216783,0.8639980261507235,95.0,1.0,68.0,0.2815470664932319,935.0
0.7168869747659461,0.9175649514903588,64.0,0.0,79.0,0.5394042648562647,927.0
0.6714378636064942,0.7523617676847572,95.0,0.0,15.0,0.6270010145881647,259.0
0.5504942262834915,0.5805004615987737,16.0,1.0,29.0,0.3638134589669775,502.0
0.49552178327219454,0.8837182122619999,66.0,0.0,13.0,0.07003530463787633,219.0
0.38750359696222736,0.09086246345485749,0.0,0.0,11.0,0.6751577620618767,91.0
0.37846550372888244,0.7794637067018177,89.0,0.0,45.0,0.019365007004777057,61.0
0.31769875178131235,0.4426219902821832,6.0,1.0,52.0,0.6053021775238941,597.0
0.5327476909997789,0.8740323779005847,9.0,1.0,65.0,0.6327368244935265,40.0
0.8698725773075927,0.5398255832700631,82.0,1.0,83.0,0.5135124218685129,947.0
0.8762008873650005,0.9466191840610296,98.0,0.0,41.0,0.27194029283665944,45.0
0.7645902209296889,0.08550595732453259,74.0,1.0,53.0,0.484820272757327,652.0
0.431872100060802,0.13415912067832136,54.0,0.0,95.0,0.7790701232524105,500.0
0.7503777453765,0.6437156264576869,56.0,0.0,76.0,0.2895312150885354,206.0
0.3513587934018523,0.600441114730207,42.0,1.0,23.0,0.5318241692754007,937.0
0.4453105155825967,0.43524379997834406,1.0,1.0,91.0,0.17829405898881456,872.0
0.8523021356753593,0.0278222910546172,96.0,1.0,43.0,0.8210743888027848,843.0
0.4218661958300097,0.2777997587201302,7.0,0.0,77.0,0.5996505037180774,505.0
0.7247975405143838,0.36726842426226614,50.0,1.0,41.0,0.8106879871086489,639.0
0.5447929090873699,0.15475370755653017,48.0,1.0,99.0,0.4528952505073328,173.0
0.10665238057505255,0.6600441554117866,92.0,0.0,12.0,0.6729535356132281,96.0
0.4021599165953257,0.9595172105500375,89.0,0.0,34.0,0.46219532292560495,133.0
0.5171586962026737,0.8953514346432901,90.0,1.0,60.0,0.7877098562515374,619.0
0.14562326810970616,0.14130014381148148,27.0,1.0,59.0,0.7964042523324159,847.0
0.8462054468839159,0.44197837630434145,19.0,0.0,61.0,0.6034837209933749,202.0
0.9985386622098984,0.007647048416032809,26.0,1.0,22.0,0.015399860025880785,493.0
0.15235860516662048,0.47236627572835455,60.0,1.0,99.0,0.6980948896266607,988.0
0.4055542982437783,0.9145629453564158,2.0,1.0,90.0,0.6349914793290738,807.0
0.8715871103061351,0.3525898064978863,42.0,1.0,97.0,0.16713273443520704,211.0
0.32475509895251353,0.20028667083870533,47.0,1.0,49.0,0.13976853407705392,972.0
0.8785888503576695,0.3041162975493289,1.0,1.0,78.0,0.993675823817835,455.0
0.527722516464622,0.5573349782694156,67.0,1.0,40.0,0.6923645281147592,6.0
0.8855199307558671,0.839777842603605,99.0,1.0,38.0,0.9032162661852796,934.0
0.23280769931805734,0.2621770071605619,34.0,0.0,8.0,0.37852583054351063,159.0
0.8780841762858256,0.8584430261284655,74.0,0.0,48.0,0.13493848955672838,514.0
0.6956565486709425,0.825028711212415,10.0,1.0,81.0,0.8645186328966087,837.0
0.7554962090037813,0.6560784749706777,41.0,1.0,58.0,0.9246425568322048,259.0
0.9961108575132074,0.8253867606654741,30.0,1.0,30.0,0.33556818558010526,774.0
0.4972678441476205,0.015282719921010823,86.0,1.0,97.0,0.5154183975944594,895.0
