regionId: 0, index: 1, origin: 0.0, 0.0, -0.001, normal: 0.0, 0.0, 1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 1, index: 1, origin: 0.5, -1.0, 0.149, normal: 0.0, 0.0, 1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 2, index: 1, origin: 0.5, -1.0, -0.0010000000000000009, normal: 1.2246467991473532E-16, 0.0, -1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 3, index: 1, origin: 0.7, -1.0, 0.07400000000000001, normal: 1.0, 0.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 4, index: 1, origin: 0.29999999999999993, -1.0, 0.07399999999999998, normal: -1.0, 0.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 5, index: 1, origin: 0.5, -1.2, 0.07400000000000001, normal: 0.0, -1.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 6, index: 1, origin: 0.5, -0.7999999999999999, 0.07399999999999998, normal: 0.0, 1.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 7, index: 1, origin: 0.5388228567653781, -0.6, 0.14388887394336025, normal: 0.25881904510252074, 0.0, 0.9659258262890683, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 8, index: 1, origin: 0.5, -0.6, -0.0010000000000000009, normal: -0.25881904510252063, 0.0, -0.9659258262890683, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 9, index: 1, origin: 0.7125965936405028, -0.6, 0.019680627951175984, normal: 0.9659258262890683, 0.0, -0.2588190451025207, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 10, index: 1, origin: 0.3262262631248754, -0.6, 0.12320824599218427, normal: -0.9659258262890683, 0.0, 0.2588190451025206, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 11, index: 1, origin: 0.519411428382689, -0.8, 0.07144443697168014, normal: 1.5848095757158825E-17, -1.0, 5.914589856893349E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 12, index: 1, origin: 0.519411428382689, -0.4, 0.07144443697168011, normal: -4.754428727147647E-17, 1.0, -1.774376957068005E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 13, index: 1, origin: 0.5, -0.16117714323462184, 0.14388887394336025, normal: 0.0, 0.25881904510252074, 0.9659258262890683, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 14, index: 1, origin: 0.5, -0.19999999999999996, -0.0010000000000000009, normal: 1.2246467991473532E-16, -0.25881904510252074, -0.9659258262890683, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 15, index: 1, origin: 0.7, -0.1805885716173109, 0.07144443697168014, normal: 1.0, 1.5848095757158825E-17, 5.914589856893349E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 16, index: 1, origin: 0.29999999999999993, -0.1805885716173109, 0.07144443697168011, normal: -1.0, -4.754428727147647E-17, -1.774376957068005E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 17, index: 1, origin: 0.5, -0.3737737368751246, 0.12320824599218429, normal: 0.0, -0.9659258262890683, 0.2588190451025208, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 18, index: 1, origin: 0.5, 0.012596593640502751, 0.019680627951175964, normal: 0.0, 0.9659258262890683, -0.2588190451025209, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 19, index: 1, origin: 0.5, 0.20000000000000007, 0.149, normal: 0.0, 0.0, 1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 20, index: 1, origin: 0.5, 0.20000000000000007, -0.0010000000000000009, normal: 1.2246467991473532E-16, 0.0, -1.0, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 21, index: 1, origin: 0.7, 0.20000000000000007, 0.07400000000000001, normal: 1.0, 0.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 22, index: 1, origin: 0.29999999999999993, 0.20000000000000007, 0.07399999999999998, normal: -1.0, 0.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 23, index: 1, origin: 0.5, 5.551115123125783E-17, 0.07400000000000001, normal: 0.0, -1.0, 6.123233995736766E-17, concave hull size: 4, number of convex polygons: 1, [4]
regionId: 24, index: 1, origin: 0.5, 0.4000000000000001, 0.07399999999999998, normal: 0.0, 1.0, -1.8369701987210297E-16, concave hull size: 4, number of convex polygons: 1, [4]
