regionId: 1939592376, index: 1, origin: 1.1926584243774414, -1.026026725769043, 0.02292739227414131, normal: -0.009178700038881145, 0.015719451204332147, 0.9998343114333649, concave hull size: 177, number of convex polygons: 12, [5, 7, 13, 6, 5, 9, 8, 5, 7, 9, 9, 9]
regionId: 213218474, index: 1, origin: 1.7008655071258545, -0.3899163007736206, 0.6357963681221008, normal: -0.7439710363523662, 0.6651040195535916, 0.06437189015744364, concave hull size: 28, number of convex polygons: 2, [10, 7]
regionId: 1348364488, index: 1, origin: 0.9113853573799133, -1.662650465965271, 0.8233698010444641, normal: 0.005583350065875569, -0.003409882066849755, 0.9999785992241694, concave hull size: 18, number of convex polygons: 1, [10]
regionId: 248905261, index: 1, origin: 0.6990806460380554, -1.5834987163543701, 0.15125025808811188, normal: -0.8293563237025893, 0.5535900069853521, -0.07553934405648431, concave hull size: 26, number of convex polygons: 2, [7, 8]
regionId: 1892648099, index: 1, origin: 0.7342157363891602, -1.6988974809646606, 0.5902904868125916, normal: -0.8252916927488364, 0.5525958534963548, 0.11632473760295171, concave hull size: 36, number of convex polygons: 2, [13, 8]
regionId: 1031911951, index: 1, origin: 2.7648212909698486, -1.897737979888916, 0.1397610306739807, normal: -0.004255778730895947, 0.016118742938466622, 0.9998610275800719, concave hull size: 33, number of convex polygons: 1, [11]
regionId: 1912241437, index: 1, origin: 1.4296679496765137, -0.5411466360092163, 0.12099894136190414, normal: -0.7606338824875453, 0.6483762235500599, -0.032316706931339395, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 1627149801, index: 1, origin: 1.7295403480529785, -0.5358143448829651, 0.8136662244796753, normal: -0.0024951414238303356, 0.022082391743559745, 0.9997530406276137, concave hull size: 19, number of convex polygons: 1, [7]
regionId: 824081986, index: 1, origin: 1.5617151260375977, -0.23360536992549896, 0.13930372893810272, normal: 0.00634804586622921, 0.0075353261257241465, 0.9999514594088351, concave hull size: 14, number of convex polygons: 1, [7]
regionId: 203781440, index: 1, origin: 1.5622304677963257, -0.4688720405101776, 0.31661179661750793, normal: -0.7157008145036293, 0.6195377192081256, 0.322405580902743, concave hull size: 15, number of convex polygons: 1, [6]
regionId: 171431236, index: 1, origin: 1.486695647239685, -0.8073853254318237, 0.5001049637794495, normal: -0.6579769667633057, -0.7529451042596293, 0.011831364266878714, concave hull size: 13, number of convex polygons: 1, [8]
regionId: 2057905071, index: 1, origin: 1.892185091972351, -0.11651228368282318, 0.36959895491600037, normal: -0.6898931762725874, 0.6690139675281821, 0.2765279670932427, concave hull size: 12, number of convex polygons: 1, [9]
regionId: 89090152, index: 1, origin: 1.0987110137939453, -1.3911422491073608, 0.5675203800201416, normal: 0.5976905999017971, 0.8017256496353957, -0.0013890664968505973, concave hull size: 11, number of convex polygons: 1, [5]
regionId: 623211910, index: 1, origin: 2.572697639465332, -1.8488248586654663, 0.08478186279535294, normal: -0.7667700112180111, 0.6418865969272982, 0.006733987067363126, concave hull size: 22, number of convex polygons: 1, [11]
regionId: 19770178, index: 1, origin: 1.5016545057296753, -0.15060889720916748, 0.06497601419687271, normal: -0.7520938061554079, 0.6587582354890744, -0.01981145925955756, concave hull size: 11, number of convex polygons: 1, [8]
regionId: 2029143955, index: 1, origin: 0.8136550188064575, -1.4967718124389648, 0.3225625157356262, normal: -0.7909843782765409, 0.5229262617792352, 0.317634755755835, concave hull size: 17, number of convex polygons: 1, [10]
regionId: 505831778, index: 1, origin: 2.958385944366455, -2.174154758453369, 0.23882023990154266, normal: 0.0010527659672367748, 0.00909606812818279, 0.9999580757353909, concave hull size: 31, number of convex polygons: 1, [9]
regionId: 678686046, index: 1, origin: 0.5602698922157288, -1.5887385606765747, 0.127609521150589, normal: -0.0010386713658748234, 5.7462533619311E-4, 0.9999992954835102, concave hull size: 12, number of convex polygons: 1, [11]
regionId: 750910651, index: 1, origin: 0.8973288536071777, -1.6020808219909668, 0.406106173992157, normal: 0.023749936764957857, -0.00800260728426015, 0.9996859000607713, concave hull size: 8, number of convex polygons: 1, [8]
regionId: 810697067, index: 1, origin: 1.646949052810669, -0.5472303032875061, 0.3952733278274536, normal: 0.039630692560993726, -0.016031188934349693, 0.9990857867012658, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 766846102, index: 1, origin: 2.8801400661468506, -2.082803249359131, 0.19240352511405945, normal: -0.7223548987622025, 0.6583895176985081, 0.21148674478315174, concave hull size: 27, number of convex polygons: 1, [7]
