Extraction Time: 0.153, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.153, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.040, Merging Time: 0.000, Registration Time: 0.003, Optimization Time: 0.000, Total Time: 0.043, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.026, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.026, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.032, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.032, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.026, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.026, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.033, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.033, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.023, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.023, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.022, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.022, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.020, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.020, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.023, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.023, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.021, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.021, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.021, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.021, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.022, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.022, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.019, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.019, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.020, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.020, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.022, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.022, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.031, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.031, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.019, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.019, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.019, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.019, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.033, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.033, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.020, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.020, Area: 0.997, Regions: 5, Vertices: 369
Extraction Time: 0.022, Merging Time: 0.000, Registration Time: 0.000, Optimization Time: 0.000, Total Time: 0.022, Area: 0.997, Regions: 5, Vertices: 369
