230911 19:51:10:126 [INFO] (PlanarRegionMappingHandler.java:307): [3] Statistics: Extraction Time: 0.011, Merging Time: 0.010, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.025, Area: 0.183, Regions: 3, Vertices: 91
230911 19:51:10:238 [INFO] (PlanarRegionMappingHandler.java:307): [4] Statistics: Extraction Time: 0.009, Merging Time: 0.008, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 0.208, Regions: 3, Vertices: 107
230911 19:51:10:355 [INFO] (PlanarRegionMappingHandler.java:307): [5] Statistics: Extraction Time: 0.010, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.018, Area: 0.234, Regions: 3, Vertices: 134
230911 19:51:10:472 [INFO] (PlanarRegionMappingHandler.java:307): [6] Statistics: Extraction Time: 0.008, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.016, Area: 0.243, Regions: 3, Vertices: 149 
230911 19:51:10:592 [INFO] (PlanarRegionMappingHandler.java:307): [7] Statistics: Extraction Time: 0.005, Merging Time: 0.009, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 0.251, Regions: 3, Vertices: 160 
230911 19:51:10:717 [INFO] (PlanarRegionMappingHandler.java:307): [8] Statistics: Extraction Time: 0.005, Merging Time: 0.012, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.020, Area: 0.259, Regions: 3, Vertices: 172 
230911 19:51:10:832 [INFO] (PlanarRegionMappingHandler.java:307): [9] Statistics: Extraction Time: 0.006, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 0.312, Regions: 4, Vertices: 184 
230911 19:51:10:951 [INFO] (PlanarRegionMappingHandler.java:307): [10] Statistics: Extraction Time: 0.004, Merging Time: 0.006, Registration Time: 0.004, Optimization Time: 0.001, Total Time: 0.016, Area: 0.301, Regions: 3, Vertices: 177 
230911 19:51:11:064 [INFO] (PlanarRegionMappingHandler.java:307): [11] Statistics: Extraction Time: 0.004, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.009, Area: 0.307, Regions: 3, Vertices: 183 
230911 19:51:11:192 [INFO] (PlanarRegionMappingHandler.java:307): [12] Statistics: Extraction Time: 0.006, Merging Time: 0.003, Registration Time: 0.007, Optimization Time: 0.001, Total Time: 0.017, Area: 0.319, Regions: 3, Vertices: 194 
230911 19:51:11:308 [INFO] (PlanarRegionMappingHandler.java:307): [13] Statistics: Extraction Time: 0.005, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.012, Area: 0.323, Regions: 3, Vertices: 205 
