regionId: -1622022297, index: 1, origin: 0.14828627657213045, 1.010142562983284, -1.5560503360174833, normal: 0.032704317399483394, 0.03822141878162924, 0.9987339739739272, concave hull size: 121, number of convex polygons: 9, [8, 7, 9, 8, 6, 5, 8, 5, 9]
regionId: -153428590, index: 1, origin: 4.438508329968778, 1.6471715046164777, -1.7263862862470902, normal: -0.1360318363162739, -0.16945666767637454, 0.9761043885202244, concave hull size: 10, number of convex polygons: 1, [6]
regionId: 1657609174, index: 1, origin: -0.6984481441242607, 1.7017799831227767, -1.3281366636500918, normal: -0.5203577552138943, 0.09428127384119514, 0.8487277820312227, concave hull size: 13, number of convex polygons: 1, [9]
regionId: 967698156, index: 1, origin: 1.030887176586285, 0.8038158198934983, -1.4070134988287477, normal: 0.05287054842405564, 0.9968772828692201, -0.058654820847230726, concave hull size: 15, number of convex polygons: 1, [8]
regionId: -166896018, index: 1, origin: 1.8287404416700677, 0.9275134164278008, -1.3047973073519104, normal: -0.8282092445902651, 0.535397314458056, 0.16558732694962977, concave hull size: 23, number of convex polygons: 1, [8]
regionId: -1734818873, index: 1, origin: 1.758178199545571, 0.4720984628131983, -1.223700912829364, normal: -0.02002751077853416, -0.056787462827506206, 0.9981853950432407, concave hull size: 27, number of convex polygons: 1, [10]
regionId: -1686995895, index: 1, origin: 1.5193378813499576, 0.8929820274694193, -1.357577303929718, normal: 0.08080052978188534, 0.05027833427787045, 0.9954613822189233, concave hull size: 15, number of convex polygons: 1, [8]
regionId: -1539921393, index: 1, origin: 1.436594344142606, 1.4234831782820552, -1.2130850839765233, normal: 0.025233391187875896, -0.0030111009990547322, 0.9996770524724138, concave hull size: 16, number of convex polygons: 1, [10]
regionId: 1589021220, index: 1, origin: -0.3145208812918554, 2.7376802592784713, -1.5054063694747362, normal: 0.9557788262098507, 0.28919700159194395, -0.05340346092856796, concave hull size: 9, number of convex polygons: 1, [7]
regionId: -1478417789, index: 1, origin: 0.5104242061721859, 1.1152817754495277, -1.171671044958978, normal: 0.012553825292955168, 0.050408884874849916, 0.9986497613258555, concave hull size: 29, number of convex polygons: 1, [14]
regionId: -341777263, index: 1, origin: 1.118751177034711, 0.46815521475421695, -1.4247163019998739, normal: 0.06261091335957773, 0.04880258493442734, 0.99684411079767, concave hull size: 16, number of convex polygons: 1, [9]
regionId: 2126079676, index: 1, origin: 1.0427001893045325, 0.9873646939485482, -1.2438382175132103, normal: -0.2042778751487562, 0.05888292874713233, 0.9771403944300272, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 701439933, index: 1, origin: 2.8291428775243084, 0.7289126064735041, -1.2958654655934791, normal: 0.5974609514507327, -0.6586429668651622, 0.4574164991456275, concave hull size: 10, number of convex polygons: 1, [6]
regionId: -1755825832, index: 1, origin: 1.2607811334771588, -0.05097179118867462, -1.4407298825980372, normal: 0.9775886068759574, -0.2006141187440719, -0.06383174027758232, concave hull size: 7, number of convex polygons: 1, [7]
regionId: -147245317, index: 1, origin: 1.479548172495953, 0.724535026128437, -1.4581877691661798, normal: 0.08452414758506033, 0.958552098125918, -0.2720910576505946, concave hull size: 14, number of convex polygons: 1, [6]
regionId: 1818970450, index: 1, origin: 0.27341540349519455, 2.216072770539997, -1.4067424590247242, normal: 0.06132803018788269, 0.06099287618019693, 0.9962523484381562, concave hull size: 17, number of convex polygons: 1, [9]
regionId: 1784704119, index: 1, origin: 1.4294722454272695, 0.21013703151115626, -1.4790401210890405, normal: 0.7467457345895722, 0.6640433857092605, 0.037645580989843386, concave hull size: 11, number of convex polygons: 1, [5]
regionId: 252734678, index: 1, origin: 1.2410309289242532, 1.9827431832682376, -1.2890368372723198, normal: 0.4997571456175057, 0.7016676728384073, -0.5078437479164009, concave hull size: 11, number of convex polygons: 1, [7]
regionId: 1203897271, index: 1, origin: 2.0709763339356235, 0.3042880750687976, -1.3628832737699308, normal: 0.4399891795551536, -0.22037361959798898, 0.87054292809698, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1203897271, index: 2, origin: 2.0709763339356235, 0.3042880750687976, -1.3628832737699308, normal: 0.4399891795551536, -0.22037361959798898, 0.87054292809698, concave hull size: 8, number of convex polygons: 1, [6]
regionId: 1918422277, index: 1, origin: 1.4643856519621201, 0.4124157702757675, -1.3621875852164242, normal: -0.8366169744475925, 0.5357398436453302, 0.1142578574848721, concave hull size: 31, number of convex polygons: 2, [6, 6]
regionId: 655025627, index: 1, origin: 1.4102840617085903, 2.1386782449759183, -1.2353791196640755, normal: 0.06709549619707347, 0.07233950341106635, 0.9951206914923982, concave hull size: 22, number of convex polygons: 2, [6, 9]
regionId: -1032336503, index: 1, origin: 0.8493523030300157, 0.3436369108462078, -1.4660433672723063, normal: 0.9279556904929319, 0.34397802155674756, -0.14344809921254265, concave hull size: 14, number of convex polygons: 1, [7]
regionId: -252945224, index: 1, origin: 2.1436182154685293, 0.930265994608373, -1.2280809495781102, normal: 0.07385951153237352, 0.1492547799430331, 0.9860364005554542, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 1753402353, index: 1, origin: -0.7105396439975366, 2.394506540529068, -1.5842320358283437, normal: -0.12750139155548348, 0.09661130883801033, 0.9871219023788409, concave hull size: 23, number of convex polygons: 1, [7]
regionId: -901252542, index: 1, origin: 1.0615511392043862, 1.6732546595568747, -1.6001809493399461, normal: 0.05088152797666839, 0.027797877458764594, 0.9983177590925382, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 258240037, index: 1, origin: 0.8357369113833988, 0.9784672852627632, -1.4111373594998664, normal: 0.9878569189377057, -0.013038420405792117, -0.15481830415110853, concave hull size: 11, number of convex polygons: 1, [9]
regionId: 792167391, index: 1, origin: 1.5042115979601927, 0.14754897853160798, -1.3399815228706329, normal: 0.526786042258055, 0.8490946862122932, -0.03917498600053204, concave hull size: 14, number of convex polygons: 1, [10]
regionId: 1429470322, index: 1, origin: 2.123601753323821, 1.6355006671894623, -1.1673501892749303, normal: 0.03633126484793799, 0.028904346796993587, 0.9989217076081529, concave hull size: 55, number of convex polygons: 3, [8, 7, 12]
regionId: 903472538, index: 1, origin: 1.1565511586531025, 0.27067315487810445, -1.4458408526509414, normal: -0.30964951502426585, 0.8812982455600258, -0.35697420105388317, concave hull size: 10, number of convex polygons: 1, [7]
regionId: -628480256, index: 1, origin: 0.1565530187137644, 2.1020402926434545, -1.526669888543086, normal: 0.46934702583266563, 0.6877607097701408, -0.5538037336805375, concave hull size: 12, number of convex polygons: 1, [5]
regionId: 1486804823, index: 1, origin: 0.9137100464871196, 0.6252477201783874, -1.4954180542520041, normal: -0.32266217328263547, 0.8417873831253121, 0.43276220207357013, concave hull size: 20, number of convex polygons: 1, [7]
regionId: -845123662, index: 1, origin: -0.646526587523202, 1.4719330357944778, -1.348696488782036, normal: 0.15482543425005504, -0.02754009671666125, 0.9875579112042588, concave hull size: 6, number of convex polygons: 1, [6]
regionId: 987598442, index: 1, origin: 0.4333188059034885, 1.9001656141986667, -1.551887196926751, normal: 0.43499495525927534, 0.697771658927578, -0.5691169483475578, concave hull size: 11, number of convex polygons: 1, [6]
regionId: -212388673, index: 1, origin: 0.6485740990163702, 1.9107014986267037, -1.4003703646030663, normal: 0.040380092108713475, 0.08286780072414243, 0.9957421231244742, concave hull size: 10, number of convex polygons: 1, [10]
regionId: -2146459582, index: 1, origin: 0.7362865365996917, 2.3428362585425875, -1.4516498196384144, normal: -0.16110197830335166, -0.020676516334633785, 0.9867211532439193, concave hull size: 14, number of convex polygons: 1, [5]
regionId: 501605763, index: 1, origin: 0.98720411325882, 2.9930294027724718, -1.436358993159576, normal: -0.24977473431131406, 0.2418547324647181, 0.9376133907342259, concave hull size: 12, number of convex polygons: 1, [8]
regionId: 501605763, index: 2, origin: 0.98720411325882, 2.9930294027724718, -1.436358993159576, normal: -0.24977473431131406, 0.2418547324647181, 0.9376133907342259, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 212774674, index: 1, origin: -0.4695401268015662, 2.516736715033482, -1.3422009174089953, normal: 0.9054992849641764, -0.42369768726389956, 0.023480092346246484, concave hull size: 11, number of convex polygons: 1, [6]
regionId: -19076012, index: 1, origin: 0.21899227271524413, 0.8079932724264469, -1.3335155523951219, normal: 0.9307045672530362, 0.3657415043117337, -0.004707495950982854, concave hull size: 10, number of convex polygons: 1, [6]
regionId: -937777259, index: 1, origin: 0.2816136147862308, 0.7484658630208698, -1.371269107682825, normal: 0.5460382238574878, 0.8375394647872602, 0.0192328627726025, concave hull size: 13, number of convex polygons: 1, [7]
regionId: 77400430, index: 1, origin: 2.8697442625005594, 0.7465119682841084, -1.438187043852956, normal: 0.8202804043364382, -0.5535617261853538, 0.14390786484532664, concave hull size: 10, number of convex polygons: 1, [7]
regionId: 1091489623, index: 1, origin: 1.9561615101338794, 2.2997180983340275, -1.172413013619399, normal: 0.010153978762115521, -0.08607347876130625, 0.9962370465753748, concave hull size: 14, number of convex polygons: 1, [8]
regionId: 172264999, index: 1, origin: -0.1796193885587597, 3.0383909326641616, -1.3152822544940115, normal: 0.9649938874958583, -0.12655693029840134, 0.22971752325209382, concave hull size: 5, number of convex polygons: 1, [4]
regionId: 172264999, index: 2, origin: -0.1796193885587597, 3.0383909326641616, -1.3152822544940115, normal: 0.9649938874958583, -0.12655693029840134, 0.22971752325209382, concave hull size: 2, number of convex polygons: 1, [2]
regionId: 1513076031, index: 1, origin: 1.4055615768353462, -0.011756458893098232, -1.3466799535129852, normal: -0.05607476696144256, 0.30384520103969914, 0.9510697736314433, concave hull size: 10, number of convex polygons: 1, [6]
regionId: -661066485, index: 1, origin: 0.2957011502912977, 0.7534686127731778, -1.1746446436932128, normal: 0.49616959360938867, 0.7388030109069047, -0.45605465182627647, concave hull size: 8, number of convex polygons: 1, [5]
regionId: -2013015521, index: 1, origin: 0.7632476108354893, 1.1406174566067147, -1.5599797962394188, normal: -0.054038440437600366, 0.16397340336497318, 0.9849835379050655, concave hull size: 8, number of convex polygons: 1, [5]
regionId: 1889516179, index: 1, origin: -0.36818899460207494, 2.7160015398378183, -1.1574525337259671, normal: 0.8250765547088165, 0.5262313458443612, 0.20574073374191582, concave hull size: 7, number of convex polygons: 1, [5]
regionId: 2079284624, index: 1, origin: -0.6118457668459791, 1.617146127282129, -1.3134816482460607, normal: -0.1002097950601089, -0.057002258573414316, 0.9933321395643758, concave hull size: 7, number of convex polygons: 1, [6]
regionId: 728978322, index: 1, origin: 4.643221416498955, 2.166233059886017, -1.7025488966700173, normal: 0.3051394505594844, 0.7611240978195692, -0.5723460696384695, concave hull size: 10, number of convex polygons: 1, [7]
regionId: -236250248, index: 1, origin: -0.41897129739513916, 2.4636251250322654, -1.52846216434082, normal: 0.5983573032552988, -0.23227040268964017, 0.7668239678540565, concave hull size: 12, number of convex polygons: 1, [8]
